Name,Computed Value,Total Weight,Optimality
00Uncorrelated/n00050/R10000/s035.kp,211646,118558,Optimal
00Uncorrelated/n00100/R10000/s098.kp,414026,246938,Optimal
00Uncorrelated/n00200/R01000/s033.kp,77511,50643,Optimal
00Uncorrelated/n00500/R10000/s054.kp,2041925,1251388,Optimal
00Uncorrelated/n01000/R10000/s011.kp,4081552,2413442,Optimal
00Uncorrelated/n02000/R01000/s086.kp,796177,500746,Optimal
00Uncorrelated/n05000/R10000/s000.kp,20398463,12305918,Optimal
00Uncorrelated/n10000/R01000/s012.kp,4058343,2483579,Optimal
01WeaklyCorrelated/n00050/R10000/s083.kp,131314,122146,Optimal
01WeaklyCorrelated/n00100/R01000/s036.kp,27241,24762,Optimal
01WeaklyCorrelated/n00200/R10000/s074.kp,579182,522509,Optimal
01WeaklyCorrelated/n00500/R01000/s039.kp,131292,118451,Optimal
01WeaklyCorrelated/n01000/R10000/s073.kp,2648754,2411830,Optimal
01WeaklyCorrelated/n02000/R01000/s092.kp,543916,494716,Optimal
01WeaklyCorrelated/n05000/R01000/s086.kp,1370227,1238153,Optimal
01WeaklyCorrelated/n10000/R01000/s031.kp,2765911,2503037,Optimal
02StronglyCorrelated/n00050/R10000/s058.kp,154174,120174,Optimal
02StronglyCorrelated/n00100/R10000/s060.kp,314006,244006,Optimal
02StronglyCorrelated/n00200/R10000/s063.kp,612979,472979,Uncertain
02StronglyCorrelated/n00500/R01000/s012.kp,159045,124045,Optimal
02StronglyCorrelated/n01000/R10000/s080.kp,3207185,2501185,Uncertain
02StronglyCorrelated/n02000/R10000/s090.kp,6456003,5052003,Uncertain
02StronglyCorrelated/n05000/R01000/s089.kp,1588992,1236792,Uncertain
02StronglyCorrelated/n10000/R10000/s057.kp,31908179,24878179,Uncertain
03InverseStronglyCorrelated/n00050/R10000/s043.kp,135926,152926,Optimal
03InverseStronglyCorrelated/n00100/R10000/s067.kp,271747,303747,Optimal
03InverseStronglyCorrelated/n00200/R10000/s076.kp,526199,591199,Uncertain
03InverseStronglyCorrelated/n00500/R01000/s032.kp,129378,144678,Uncertain
03InverseStronglyCorrelated/n01000/R01000/s013.kp,261048,292348,Uncertain
03InverseStronglyCorrelated/n02000/R10000/s091.kp,5344456,5981456,Uncertain
03InverseStronglyCorrelated/n05000/R10000/s087.kp,13320545,14903545,Uncertain
03InverseStronglyCorrelated/n10000/R01000/s009.kp,2635794,2949494,Uncertain
04AlmostStronglyCorrelated/n00050/R01000/s091.kp,16861,13447,Optimal
04AlmostStronglyCorrelated/n00100/R10000/s033.kp,300307,229286,Optimal
04AlmostStronglyCorrelated/n00200/R01000/s077.kp,64331,50347,Uncertain
04AlmostStronglyCorrelated/n00500/R01000/s081.kp,158700,123626,Uncertain
04AlmostStronglyCorrelated/n01000/R01000/s063.kp,311456,240374,Optimal
04AlmostStronglyCorrelated/n02000/R10000/s096.kp,6424001,5029273,Optimal
04AlmostStronglyCorrelated/n05000/R10000/s077.kp,15723669,12197819,Uncertain
04AlmostStronglyCorrelated/n10000/R01000/s021.kp,3173686,2469332,Uncertain
05SubsetSum/n00050/R01000/s061.kp,11181,11181,Optimal
05SubsetSum/n00100/R01000/s095.kp,25040,25040,Optimal
05SubsetSum/n00200/R01000/s019.kp,45641,45641,Optimal
05SubsetSum/n00500/R10000/s093.kp,1257367,1257367,Optimal
05SubsetSum/n01000/R10000/s053.kp,2484840,2484840,Optimal
05SubsetSum/n02000/R10000/s022.kp,4930720,4930720,Optimal
